"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 09 13:15:01 GMT 2025","Sat Aug 09 13:15:04 GMT 2025","2075","PetStore Suite","Pet API Tests","io.swagger.petstore.testcases.PetApiTest","io.swagger.petstore.testcases.PetApiTest","createPet","Create new pet and validate response",""
"passed","Sat Aug 09 12:47:32 GMT 2025","Sat Aug 09 12:47:33 GMT 2025","684","Default Suite","GizaSystemsAPITask","io.swagger.petstore.testcases.PetApiTest","io.swagger.petstore.testcases.PetApiTest","findByStatus_shouldReturnNames","Find pets by status and collect names",""
"passed","Sat Aug 09 13:15:04 GMT 2025","Sat Aug 09 13:15:04 GMT 2025","541","PetStore Suite","Pet API Tests","io.swagger.petstore.testcases.PetApiTest","io.swagger.petstore.testcases.PetApiTest","findByStatus","Find pets by status and collect names",""
"passed","Sat Aug 09 12:47:30 GMT 2025","Sat Aug 09 12:47:32 GMT 2025","1566","Default Suite","GizaSystemsAPITask","io.swagger.petstore.testcases.PetApiTest","io.swagger.petstore.testcases.PetApiTest","createPet_shouldSucceed","Create new pet and validate response",""
"passed","Sat Aug 09 13:15:04 GMT 2025","Sat Aug 09 13:15:05 GMT 2025","690","PetStore Suite","Pet API Tests","io.swagger.petstore.testcases.PetApiTest","io.swagger.petstore.testcases.PetApiTest","getPetById","Get random pet by id (picked from findByStatus) and extract its name",""
"passed","Sat Aug 09 12:47:33 GMT 2025","Sat Aug 09 12:47:34 GMT 2025","1081","Default Suite","GizaSystemsAPITask","io.swagger.petstore.testcases.PetApiTest","io.swagger.petstore.testcases.PetApiTest","getPetById_shouldReturnName","Get random pet by id (picked from findByStatus) and extract its name",""
